target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
CSNK2B,ENSG00000204435,nuclear_punctae;nucleoplasm,membrane,
CTBP1,ENSG00000159692,nucleoplasm,chromatin,
CTBP2,ENSG00000175029,nucleoplasm,nuclear_punctae,
CTCF,ENSG00000102974,nucleoplasm,chromatin,
CTNNB1,ENSG00000168036,membrane,vesicles,
CTNNBL1,ENSG00000132792,chromatin,,
CTPS1,ENSG00000171793,cytoplasmic,vesicles,
CTTN,ENSG00000085733,cell_contact;big_aggregates;membrane,,cytoplasmic
CUTC,ENSG00000119929,nucleoplasm,,
CYB5R3,ENSG00000100243,er,,vesicles
CYP51A1,ENSG00000001630,er,,
CZIB,ENSG00000162384,cytoplasmic;nucleoplasm,,
DAD1,ENSG00000129562,er,,
DAPK3,ENSG00000167657,membrane;cytoskeleton;centrosome,,cytoplasmic
DBNDD1,ENSG00000003249,cytoplasmic,,
DBNL,ENSG00000136279,vesicles,membrane;cell_contact,
DCP1A,ENSG00000272886,vesicles,,cytoplasmic
DCP1B,ENSG00000151065,vesicles,,
DCP2,ENSG00000172795,vesicles,,
DCTN2,ENSG00000175203,centrosome;cytoplasmic,cytoskeleton,
DDB1,ENSG00000167986,nucleoplasm,,cytoplasmic
DDOST,ENSG00000244038,er,,
DDX21,ENSG00000165732,nucleolus_gc,,
DDX39B,ENSG00000198563,chromatin,,
DDX47,ENSG00000213782,nucleolus_gc,,nucleoplasm
DDX5,ENSG00000108654,nucleoplasm;chromatin,nucleolus_gc,
DDX56,ENSG00000136271,nucleolus_gc,,cytoplasmic
DDX6,ENSG00000110367,big_aggregates,,
DEGS1,ENSG00000143753,er;vesicles,,
DEPDC1B,ENSG00000035499,membrane,cytoplasmic,
DHCR24,ENSG00000116133,vesicles,er,
DHX37,ENSG00000150990,nucleolus_gc,,nucleoplasm
DHX9,ENSG00000135829,chromatin,nuclear_punctae;nucleoplasm,
DIAPH1,ENSG00000131504,cytoplasmic,,nucleoplasm
DKC1,ENSG00000130826,nucleolus_fc_dfc,,
DNAJA1,ENSG00000086061,nucleoplasm;cytoplasmic,,
